countrycode,country,year,count
AFE,Africa Eastern and Southern,2023,750491370.0
SGP,Singapore,2024,6036860.0
UZB,Uzbekistan,2024,36361859.0
GAB,Gabon,2024,2538952.0
PYF,French Polynesia,2024,281807.0
FRA,France,2024,68551653.0
LTE,Late-demographic dividend,2024,2328628339.0
SXM,Sint Maarten (Dutch part),2024,43350.0
FIN,Finland,2024,5619911.0
NGA,Nigeria,2024,232679478.0
ZWE,Zimbabwe,2024,16634373.0
NCL,New Caledonia,2024,292639.0
NLD,Netherlands,2024,17993485.0
MKD,North Macedonia,2024,1824359.0
WLD,World,2024,8141808945.0
TCA,Turks and Caicos Islands,2024,46535.0
,Upper middle income,2024,2817912698.0
TEC,Europe & Central Asia (IDA & IBRD countries),2024,459734030.0
PRI,Puerto Rico (US),2024,3203295.0
KOR,"Korea, Rep.",2024,51751065.0
PRK,"Korea, Dem. People's Rep.",2024,26498823.0
CMR,Cameroon,2024,29123744.0
ARE,United Arab Emirates,2024,10986400.0
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2024,736401764.0
SDN,Sudan,2024,50448963.0
KGZ,Kyrgyz Republic,2024,7221868.0
VIR,Virgin Islands (U.S.),2024,104377.0
PRT,Portugal,2024,10694681.0
KWT,Kuwait,2024,4897263.0
XKX,Kosovo,2024,1594353.0
KHM,Cambodia,2024,17638801.0
MIC,Middle income,2024,5938893610.0
CPV,Cabo Verde,2024,524877.0
SUR,Suriname,2024,634431.0
KIR,Kiribati,2024,134518.0
EUU,European Union,2024,450228188.0
QAT,Qatar,2024,2857822.0
KEN,Kenya,2024,56432944.0
CAF,Central African Republic,2024,5330690.0
VCT,St. Vincent and the Grenadines,2024,100616.0
CYM,Cayman Islands,2024,74457.0
CAN,Canada,2024,41288599.0
BDI,Burundi,2024,14047786.0
LVA,Latvia,2024,1866124.0
ECA,Europe & Central Asia (excluding high income),2024,250281521.0
LAO,Lao PDR,2024,7769819.0
BFA,Burkina Faso,2024,23548781.0
BGR,Bulgaria,2024,6441421.0
SWE,Sweden,2024,10569709.0
KAZ,Kazakhstan,2024,20592571.0
ROU,Romania,2024,19051804.0
JOR,Jordan,2024,11552876.0
JPN,Japan,2024,123975371.0
CHI,Channel Islands,2024,168126.0
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2024,741690916.0
